식당이름,음식분류,메뉴명(선택),가격(선택)
솔향기,한식,한식뷔페,10000
노이 봉은사 삼성본점,양식,소고기쌀국수s,12000
천미향,중식,새우볶음밥,10000
천미향,중식,삼선간짜장,9000
천미향,중식,해물쟁반짜장,10000
천미향,중식,짬짜면,10000
천미향,중식,게살볶음밥,12000
천미향,중식,잡채밥,11000
본가신의주찹쌀순대,한식,순대국밥,13000
현대옥 코엑스점,한식,전주남부식콩나물국밥,9000
써브웨이 봉은사역점,양식,에그마요(15cm세트),10300
류창희국수 삼성점,한식,오사리멸치수제비,10500
류창희국수 삼성점,한식,오사리멸치칼국수,10500
류창희국수 삼성점,한식,강원도햇살보리밥,10500
자연의원죽,한식,야채죽,10000
자연의원죽,한식,한우사태떡만두국,10000
자연의원죽,한식,야채떡라면,6000
자연의원죽,한식,참치야채볶음밥,11000
자연의원죽,한식,해물김치볶음밥,11000
사시미랑초밥,한식,회덮밥,10000
사시미랑초밥,한식,알밥,10000
사시미랑초밥,한식,낙지볶음,13000
사시미랑초밥,한식,알탕,15000
사시미랑초밥,한식,동태탕,12000
차이린,중식,옛날간짜장,11000
성북동청국장,한식,육회비빔밥,16000
이남장,한식,설렁탕,14000
노브랜드버거코엑스점,패스트푸드,NBB어메이징감바스새우세트,9200
